"","Number.of.Fish","Ave.time.to.drive","No.drivers","Total.trips","Est.mort.rate"
"1",20,30,1,1,0.0011638951699624
"2",20,30,2,2,0.0011638951699624
"3",20,30,3,3,0.0011638951699624
"4",20,30,4,4,0.0011638951699624
"5",20,30,5,5,0.0011638951699624
"6",20,60,1,1,0.00168131305877412
"7",20,60,2,2,0.00168131305877412
"8",20,60,3,3,0.00168131305877412
"9",20,60,4,4,0.00168131305877412
"10",20,60,5,5,0.00168131305877412
"11",20,90,1,1,0.00242819356757052
"12",20,90,2,2,0.00242819356757052
"13",20,90,3,3,0.00242819356757052
"14",20,90,4,4,0.00242819356757052
"15",20,90,5,5,0.00242819356757052
"16",20,120,1,1,0.00350569163526737
"17",20,120,2,2,0.00350569163526737
"18",20,120,3,3,0.00350569163526737
"19",20,120,4,4,0.00350569163526737
"20",20,120,5,5,0.00350569163526737
"21",40,30,1,1,0.00145774462749552
"22",40,30,2,2,0.00145774462749552
"23",40,30,3,3,0.00145774462749552
"24",40,30,4,4,0.00145774462749552
"25",40,30,5,5,0.00145774462749552
"26",40,60,1,1,0.00210552001526553
"27",40,60,2,2,0.00210552001526553
"28",40,60,3,3,0.00210552001526553
"29",40,60,4,4,0.00210552001526553
"30",40,60,5,5,0.00210552001526553
"31",40,90,1,1,0.00304026977846271
"32",40,90,2,2,0.00304026977846271
"33",40,90,3,3,0.00304026977846271
"34",40,90,4,4,0.00304026977846271
"35",40,90,5,5,0.00304026977846271
"36",40,120,1,1,0.00438817867627047
"37",40,120,2,2,0.00438817867627047
"38",40,120,3,3,0.00438817867627047
"39",40,120,4,4,0.00438817867627047
"40",40,120,5,5,0.00438817867627047
"41",60,30,1,1,0.00182564687103262
"42",60,30,2,2,0.00182564687103262
"43",60,30,3,3,0.00182564687103262
"44",60,30,4,4,0.00182564687103262
"45",60,30,5,5,0.00182564687103262
"46",60,60,1,1,0.00263647467367634
"47",60,60,2,2,0.00263647467367634
"48",60,60,3,3,0.00263647467367634
"49",60,60,4,4,0.00263647467367634
"50",60,60,5,5,0.00263647467367634
"51",60,90,1,1,0.00380604375721775
"52",60,90,2,2,0.00380604375721775
"53",60,90,3,3,0.00380604375721775
"54",60,90,4,4,0.00380604375721775
"55",60,90,5,5,0.00380604375721775
"56",60,120,1,1,0.00549158976124289
"57",60,120,2,2,0.00549158976124289
"58",60,120,3,3,0.00549158976124289
"59",60,120,4,4,0.00549158976124289
"60",60,120,5,5,0.00549158976124289
"61",80,30,1,2,0.00220660590427769
"62",80,30,2,4,0.00220660590427769
"63",80,30,3,6,0.00220660590427769
"64",80,30,4,8,0.00220660590427769
"65",80,30,5,10,0.00220660590427769
"66",80,60,1,2,0.0031860896625332
"67",80,60,2,4,0.0031860896625332
"68",80,60,3,6,0.0031860896625332
"69",80,60,4,8,0.0031860896625332
"70",80,60,5,10,0.0031860896625332
"71",80,90,1,2,0.00459834987215207
"72",80,90,2,4,0.00459834987215207
"73",80,90,3,6,0.00459834987215207
"74",80,90,4,8,0.00459834987215207
"75",80,90,5,10,0.00459834987215207
"76",80,120,1,2,0.00663244077870336
"77",80,120,2,4,0.00663244077870336
"78",80,120,3,6,0.00663244077870336
"79",80,120,4,8,0.00663244077870336
"80",80,120,5,10,0.00663244077870336
"81",100,30,1,2,0.00246921067002153
"82",100,30,2,4,0.00246921067002153
"83",100,30,3,6,0.00246921067002153
"84",100,30,4,8,0.00246921067002153
"85",100,30,5,10,0.00246921067002153
"86",100,60,1,2,0.00356484481812947
"87",100,60,2,4,0.00356484481812947
"88",100,60,3,6,0.00356484481812947
"89",100,60,4,8,0.00356484481812947
"90",100,60,5,10,0.00356484481812947
"91",100,90,1,2,0.00514412494878399
"92",100,90,2,4,0.00514412494878399
"93",100,90,3,6,0.00514412494878399
"94",100,90,4,8,0.00514412494878399
"95",100,90,5,10,0.00514412494878399
"96",100,120,1,2,0.0074178416225319
"97",100,120,2,4,0.0074178416225319
"98",100,120,3,6,0.0074178416225319
"99",100,120,4,8,0.0074178416225319
"100",100,120,5,10,0.0074178416225319
"101",120,30,1,2,0.00276298108379492
"102",120,30,2,4,0.00276298108379492
"103",120,30,3,6,0.00276298108379492
"104",120,30,4,8,0.00276298108379492
"105",120,30,5,10,0.00276298108379492
"106",120,60,1,2,0.00398844537669095
"107",120,60,2,4,0.00398844537669095
"108",120,60,3,6,0.00398844537669095
"109",120,60,4,8,0.00398844537669095
"110",120,60,5,10,0.00398844537669095
"111",120,90,1,2,0.00575430323255591
"112",120,90,2,4,0.00575430323255591
"113",120,90,3,6,0.00575430323255591
"114",120,90,4,8,0.00575430323255591
"115",120,90,5,10,0.00575430323255591
"116",120,120,1,2,0.00829547144233977
"117",120,120,2,4,0.00829547144233977
"118",120,120,3,6,0.00829547144233977
"119",120,120,4,8,0.00829547144233977
"120",120,120,5,10,0.00829547144233977
"121",140,30,1,2,0.0030915940441306
"122",140,30,2,4,0.0030915940441306
"123",140,30,3,6,0.0030915940441306
"124",140,30,4,8,0.0030915940441306
"125",140,30,5,10,0.0030915940441306
"126",140,60,1,2,0.00446215579978799
"127",140,60,2,4,0.00446215579978799
"128",140,60,3,6,0.00446215579978799
"129",140,60,4,8,0.00446215579978799
"130",140,60,5,10,0.00446215579978799
"131",140,90,1,2,0.00643639049396405
"132",140,90,2,4,0.00643639049396405
"133",140,90,3,6,0.00643639049396405
"134",140,90,4,8,0.00643639049396405
"135",140,90,5,10,0.00643639049396405
"136",140,120,1,2,0.00927596623013586
"137",140,120,2,4,0.00927596623013586
"138",140,120,3,6,0.00927596623013586
"139",140,120,4,8,0.00927596623013586
"140",140,120,5,10,0.00927596623013586
"141",160,30,1,2,0.00345915475602526
"142",160,30,2,4,0.00345915475602526
"143",160,30,3,6,0.00345915475602526
"144",160,30,4,8,0.00345915475602526
"145",160,30,5,10,0.00345915475602526
"146",160,60,1,2,0.00499184715778277
"147",160,60,2,4,0.00499184715778277
"148",160,60,3,6,0.00499184715778277
"149",160,60,4,8,0.00499184715778277
"150",160,60,5,10,0.00499184715778277
"151",160,90,1,2,0.00719874368236942
"152",160,90,2,4,0.00719874368236942
"153",160,90,3,6,0.00719874368236942
"154",160,90,4,8,0.00719874368236942
"155",160,90,5,10,0.00719874368236942
"156",160,120,1,2,0.0103711399883166
"157",160,120,2,4,0.0103711399883166
"158",160,120,3,6,0.0103711399883166
"159",160,120,4,8,0.0103711399883166
"160",160,120,5,10,0.0103711399883166
"161",180,30,1,2,0.00387024523927929
"162",180,30,2,4,0.00387024523927929
"163",180,30,3,6,0.00387024523927929
"164",180,30,4,8,0.00387024523927929
"165",180,30,5,10,0.00387024523927929
"166",180,60,1,2,0.00558406416203967
"167",180,60,2,4,0.00558406416203967
"168",180,60,3,6,0.00558406416203967
"169",180,60,4,8,0.00558406416203967
"170",180,60,5,10,0.00558406416203967
"171",180,90,1,2,0.00805066153771265
"172",180,90,2,4,0.00805066153771265
"173",180,90,3,6,0.00805066153771265
"174",180,90,4,8,0.00805066153771265
"175",180,90,5,10,0.00805066153771265
"176",180,120,1,2,0.011594103057057
"177",180,120,2,4,0.011594103057057
"178",180,120,3,6,0.011594103057057
"179",180,120,4,8,0.011594103057057
"180",180,120,5,10,0.011594103057057
"181",200,30,1,2,0.00432997798082524
"182",200,30,2,4,0.00432997798082524
"183",200,30,3,6,0.00432997798082524
"184",200,30,4,8,0.00432997798082524
"185",200,30,5,10,0.00432997798082524
"186",200,60,1,2,0.00624609887925993
"187",200,60,2,4,0.00624609887925993
"188",200,60,3,6,0.00624609887925993
"189",200,60,4,8,0.00624609887925993
"190",200,60,5,10,0.00624609887925993
"191",200,90,1,2,0.00900248334991951
"192",200,90,2,4,0.00900248334991951
"193",200,90,3,6,0.00900248334991951
"194",200,90,4,8,0.00900248334991951
"195",200,90,5,10,0.00900248334991951
"196",200,120,1,2,0.0129593892435624
"197",200,120,2,4,0.0129593892435624
"198",200,120,3,6,0.0129593892435624
"199",200,120,4,8,0.0129593892435624
"200",200,120,5,10,0.0129593892435624
"201",220,30,1,2,0.00484405518673242
"202",220,30,2,4,0.00484405518673242
"203",220,30,3,6,0.00484405518673242
"204",220,30,4,8,0.00484405518673242
"205",220,30,5,10,0.00484405518673242
"206",220,60,1,2,0.00698607160633911
"207",220,60,2,4,0.00698607160633911
"208",220,60,3,6,0.00698607160633911
"209",220,60,4,8,0.00698607160633911
"210",220,60,5,10,0.00698607160633911
"211",220,90,1,2,0.0100656962050568
"212",220,90,2,4,0.0100656962050568
"213",220,90,3,6,0.0100656962050568
"214",220,90,4,8,0.0100656962050568
"215",220,90,5,10,0.0100656962050568
"216",220,120,1,2,0.0144830915761419
"217",220,120,2,4,0.0144830915761419
"218",220,120,3,6,0.0144830915761419
"219",220,120,4,8,0.0144830915761419
"220",220,120,5,10,0.0144830915761419
"221",240,30,1,3,0.00523077906796269
"222",240,30,2,6,0.00523077906796269
"223",240,30,3,9,0.00523077906796269
"224",240,30,4,12,0.00523077906796269
"225",240,30,5,15,0.00523077906796269
"226",240,60,1,3,0.00754250670696648
"227",240,60,2,6,0.00754250670696648
"228",240,60,3,9,0.00754250670696648
"229",240,60,4,12,0.00754250670696648
"230",240,60,5,15,0.00754250670696648
"231",240,90,1,2,0.0112530509532895
"232",240,90,2,6,0.0108647372224376
"233",240,90,3,9,0.0108647372224376
